ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
Right-MFG---middle-frontal-gyrus,Right Middle Frontal Gyrus,R. Mid. Front. Gyrus,0.326502650188056,1.906561538907806e-69,0.687775201291655,5.736267313014318e-130,-0.657171000180798,2.4372802375179843e-12,0.203500905985353,0.0002976339244438,,
Left-MFG---middle-frontal-gyrus,Left Middle Frontal Gyrus,L. Mid. Front. Gyrus,0.312686226690787,6.397608172201819e-62,0.497752440281801,1.283029126767533e-71,-0.385366661525573,4.285163665677574e-05,0.202106266384821,0.0004308070505825,,
Right-MOG---middle-occipital-gyrus,Right Middle Occipital Gyrus,R. Mid. Occipital Gyrus,0.372981738409281,7.364027786306015e-94,0.468922118720509,5.352037329788727e-63,-0.226693781179095,0.0284753017134266,0.118328193545691,0.0305050617132261,0.0626380119754195,9.574162536863062e-06
Left-MOG---middle-occipital-gyrus,Left Middle Occipital Gyrus,L. Mid. Occipital Gyrus,0.324182079895192,2.339961846937149e-68,0.642524751402249,1.2175158865048314e-117,-0.262496763555064,0.0088180442203583,0.146847814750278,0.010038166981706,0.0490546267466367,0.000553092248127
Right-MOrG--medial-orbital-gyrus,Right Medial Orbital Gyrus,R. Med. Orbital Gyrus,0.134689348376836,1.2756428423854586e-17,0.781008731561671,3.5515819427116593e-69,1.74809490384504,6.099084402761515e-33,-0.100986129242692,0.0457336255098615,,
Left-MOrG--medial-orbital-gyrus,Left Medial Orbital Gyrus,L. Med. Orbital Gyrus,0.134738018733049,3.113306837876592e-17,0.626691162534455,9.679069363747697e-44,1.38875244900274,7.855116531811067e-20,,,,
Right-MPoG--postcentral-gyrus,Right Postcentral Gyrus Medial Segment,R. Postcent. Gyrus Med. Seg.,,,0.271037362953443,1.5779000428102265e-18,-0.407244958452773,0.0001283461063913,-0.11384336693487,0.07624594884266,,
Left-MPoG--postcentral-gyrus,Left Postcentral Gyrus Medial Segment,L. Postcent. Gyrus Med. Seg.,-0.0468794332085836,0.0148785794078898,0.148871889413429,2.4283689668682115e-06,-0.506313622107165,3.021385822229199e-06,,,,
Right-MPrG--precentral-gyrus,Right Precentral Gyrus Medial Segment,R. Precentral Gyrus Med. Seg.,0.125104481047799,5.6865347816981775e-11,0.379957262230559,2.5461894660405992e-51,-0.281331236509424,0.0012579735203855,,,,
Left-MPrG--precentral-gyrus,Left Precentral Gyrus Medial Segment,L. Precentral Gyrus Med. Seg.,0.0945640574705828,1.2751420437797042e-06,0.246445988405947,1.05889939370576e-25,-0.445052142721037,2.3624427766144852e-08,,,,
Right-MSFG--superior-frontal-gyrus,Right Superior Frontal Gyrus Medial Segment,R. Sup. Front. Gyrus Med. Seg.,0.28011719043848,1.1054732889237774e-54,0.672956969914307,1.210200926428709e-90,-0.438641982928271,0.0002204130103388,0.214188974152176,0.0001023355763838,-0.0475739012146077,0.0074537102076013
Left-MSFG--superior-frontal-gyrus,Left Superior Frontal Gyrus Medial Segment,L. Sup. Front. Gyrus Med. Seg.,0.245046679019207,8.945811356714086e-41,0.766113390198729,4.314519673990804e-121,-0.532169796674198,3.850204842350321e-06,0.315410908276137,2.0658094292913796e-08,-0.0528321246929802,0.0017889134894008
Right-MTG---middle-temporal-gyrus,Right Middle Temporal Gyrus,R. Mid. Temp. Gyrus,0.29842267570076,8.548349888171735e-69,0.557045851490501,5.978173690243628e-59,0.527899206534381,1.791273601441527e-05,0.201635064554269,8.83885137546844e-05,0.0877135712178495,7.304760912544305e-07
Left-MTG---middle-temporal-gyrus,Left Middle Temporal Gyrus,L. Mid. Temp. Gyrus,0.251449843633118,2.857320139296699e-48,0.589326704086054,4.947949728024216e-62,0.531121464551874,2.778664158848806e-05,0.184582232843378,0.0004627005032477,0.0909859168776817,6.117132261548333e-07
