ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
SUPRAMARGINAL_WM_left,Left Supramarginal WM,L. Supramarginal WM,,,0.100325897465004,0.0001207713407404,-0.302974707737723,0.0014007846412915,0.217042125596678,0.0006598642829694,,
RECTUS_WM_left,Left Rectus WM,L. Rectus WM,0.0630333904826213,0.0006711867867269,0.394102816097609,9.159103033276762e-25,-0.29224283588269,0.0659383644596843,0.369154385296334,1.4170281790828611e-11,-0.0657336092736844,0.0029364395663049
CEREBELLUM_WM_left,Left Cerebellum WM,L. Cerebellum WM,0.136842948696575,5.092075560807609e-12,0.246650507881947,8.637870452199918e-13,-0.364976821820749,0.0042062515831429,,,,
SUPERIOR_PARIETAL_LOBULE_right,Right Superior Parietal Lobule,R. Sup. Parietal Lobule,,,0.279781432574885,1.6307573086837805e-22,-0.26078267596321,0.0235785125506525,0.205016854558969,0.0008296756094046,0.0456662987201482,0.0049464802673907
CINGULATE_GYRUS_right,Right Cingulate Gyrus,R. Cingulate Gyrus,0.195792446594653,2.0805896367094616e-28,0.890683591316928,7.098383823094626e-135,,,0.151106602216917,0.0057935622304407,,
SUPERIOR_FRONTAL_GYRUS_right,Right Superior Frontal Gyrus,R. Sup. Front. Gyrus,,,0.431511042744989,1.6284303982722156e-42,,,,,,
MIDDLE_FRONTAL_GYRUS_right,Right Middle Frontal Gyrus,R. Mid. Front. Gyrus,,,0.623294482683767,4.860771810958395e-84,0.226998530859046,0.0839416257644034,-0.148196450191408,0.0188423272254515,-0.0540975481321141,0.0025432439875551
INFERIOR_FRONTAL_GYRUS_right,Right Inferior Frontal Gyrus,R. IFG,0.111306185480989,1.4993553750698026e-08,0.793762116202381,7.098383823094626e-135,0.328592829408359,0.0071883860441562,,,-0.0501258303538303,0.0049464802673907
PRECENTRAL_GYRUS_right,Right Precentral Gyrus,R. Precentral Gyrus,0.0657084692560696,0.0011523311621004,0.511860127149826,2.6173338645777925e-72,,,,,,
POSTCENTRAL_GYRUS_right,Right Postcentral Gyrus,R. Postcent. Gyrus,0.0607780916110859,0.0028660476274475,0.26785801724414,2.6979682949435233e-16,0.20812116168941,0.1423591786346022,,,0.154882684203892,8.218937702371721e-21
